"Theta [deg]","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='45deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='90deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='135deg'"
-149.5,-5.25302097050912,-6.64319452857761,-5.84998421303046,-4.62226964477675
-149,-5.15197786782624,-6.52648548421924,-5.70076122312543,-4.45665967459376
-148.5,-5.04847577297524,-6.4042822113184,-5.55074603537606,-4.29191696925109
-148,-4.94238870181533,-6.27668538111853,-5.40022846433264,-4.12830201346845
-147.5,-4.83364826492609,-6.14388746556014,-5.24950836783063,-3.96608590135691
-147,-4.72224245690558,-6.0061659334582,-5.09889077334881,-3.80554591739579
-146.5,-4.60821331304332,-5.86387437668708,-4.94868137029095,-3.64696130987572
-146,-4.49165353044788,-5.71743202291731,-4.79918243236582,-3.49060932823177
-145.5,-4.37270219183633,-5.56731214871557,-4.65068921173929,-3.33676157907078
-145,-4.2515397616501,-5.41402992215645,-4.5034868259682,-3.18568073954359
-144.5,-4.12838254430523,-5.25813018077615,-4.35784764066521,-3.03761765174654
-144,-4.00347680267944,-5.10017559577218,-4.21402913582525,-2.89280880856247
-143.5,-3.87709273191496,-4.94073559615983,-4.0722722319174,-2.75147423007457
-143,-3.74951847069662,-4.78037633717104,-3.93280004313529,-2.61381572052972
-142.5,-3.6210543114031,-4.61965190490489,-3.79581701935532,-2.4800154887679
-142,-3.49200724432025,-4.45909686185109,-3.66150843502185,-2.3502351099365
-141.5,-3.36268594189745,-4.29922016100243,-3.53004018194995,-2.22461480296122
-141,-3.23339625908517,-4.14050039318956,-3.40155882348512,-2.10327299639772
-140.5,-3.10443729702363,-3.9833822843271,-3.27619186917793,-1.98630615466536
-140,-2.97609805121522,-3.82827432614488,-3.15404823175091,-1.87378883700261
-139.5,-2.84865464278268,-3.6755474042511,-3.03521883133687,-1.7657739625296
-139,-2.72236811301146,-3.525534278925,-2.91977731548836,-1.66229325633711
-138.5,-2.59748274722927,-3.37852977448313,-2.80778086708925,-1.56335785334968
-138,-2.47422488401481,-3.23479154004807,-2.69927107588206,-1.46895903867768
-137.5,-2.35280215936108,-3.09454125593562,-2.59427485274706,-1.37906910515362
-137,-2.2334031322294,-2.95796617385614,-2.49280536905466,-1.29364231064808
-136.5,-2.11619723733881,-2.82522089426041,-2.39486300631614,-1.21261591951153
-136,-2.00133501246577,-2.69642929936584,-2.30043630395989,-1.13591131404819
-135.5,-1.88894855043768,-2.57168657491777,-2.20950289535497,-1.0634351632709
-135,-1.7791521299138,-2.45106126708015,-2.12203042420393,-0.995080637304898
-134.5,-1.67204298355469,-2.33459733273518,-2.03797743514701,-0.930728656709094
-134,-1.56770216696204,-2.22231615178218,-1.95729423388601,-0.870249166681225
-133.5,-1.46619549657366,-2.11421847876285,-1.87992371337169,-0.813502426632647
-133,-1.36757452934251,-2.0102863183735,-1.80580214363163,-0.760340305989518
-132.5,-1.27187756138596,-1.91048471527597,-1.73485992366981,-0.710607577333428
-132,-1.17913062678775,-1.81476345323283,-1.66702229457023,-0.664143198173246
-131.5,-1.08934848132503,-1.72305866212134,-1.60221001350576,-0.620781572777674
-131,-1.00253555906857,-1.63529433397738,-1.54033998880919,-0.580353785631871
-130.5,-0.918686892569318,-1.55138375103011,-1.48132587662452,-0.542688798246106
-130,-0.837788989722325,-1.47123082984202,-1.42507863993605,-0.50761460127067
-129.5,-0.759820662419869,-1.39473138628959,-1.37150707098469,-0.474959314186701
-129,-0.684753803802282,-1.32177432631197,-1.32051827823548,-0.444552225267514
-128.5,-0.612554112325852,-1.25224276721579,-1.27201813916614,-0.416224765054993
-128,-0.543181762026597,-1.18601509393523,-1.22591172021295,-0.389811407277956
-127.5,-0.476592019301512,-1.12296595408174,-1.18210366524208,-0.365150491954035
-127,-0.41273580728609,-1.06296719494057,-1.14049855391955,-0.342084966356741
-126.5,-0.351560219507413,-1.00588874483793,-1.10100123133492,-0.320463040580111
-126,-0.293008984959787,-0.951599440560433,-1.06351711019872,-0.300138755573655
-125.5,-0.237022887107074,-0.899967801798853,-1.02795244688435,-0.280972462723335
-125,-0.183540139581497,-0.85086275294689,-0.994214592527403,-0.262831215289629
-124.5,-0.132496721536691,-0.804154292038641,-0.962212220331474,-0.245589073246579
-124,-0.0838266757381451,-0.759714106180061,-0.931855530163181,-0.229127324261981
-123.5,-0.0374623725461507,-0.717416132533771,-0.90305643145464,-0.213334624683295
-123,0.00666525702570761,-0.677137063763659,-0.87572870536999,-0.198107065414977
-122.5,0.0486265160026117,-0.638756796838253,-0.849788147137679,-0.183348168460581
-122,0.0884927607581435,-0.602158824227763,-0.825152689403289,-0.168968820635509
-121.5,0.12633624187588,-0.567230566800179,-0.801742507420587,-0.154887151513779
-121,0.162229963589332,-0.533863648113416,-0.779480106871827,-0.141028363044992
-120.5,0.196247558938001,-0.501954110295414,-0.758290395093103,-0.127324518460748
-120,0.228463177908279,-0.471402572280388,-0.738100736475937,-0.11371429808618
-119.5,0.258951385974927,-0.442114331802771,-0.718840992822436,-0.100142729490451
-119,0.28778707062133,-0.413999413214749,-0.700443549446139,-0.0865608990657506
-118.5,0.315045353592345,-0.386972563862161,-0.682843327833912,-0.0729256516366919
-118,0.340801506822131,-0.360953202400646,-0.6659777857124,-0.0591992840945218
-117.5,0.36513087017842,-0.335865323035053,-0.649786905394481,-0.0453492383506406
-117,0.388108769373704,-0.311637360198529,-0.634213171314896,-0.0313477981373894
-116.5,0.409810432610504,-0.288202018634464,-0.619201537695619,-0.0171717933815924
-116,0.430310904751372,-0.265496074190468,-0.604699387310459,-0.00280231506220632
-115.5,0.449684958031852,-0.243460150868333,-0.590656482341195,0.0117755573334053
-115,0.468006998565093,-0.222038479791474,-0.577024908332591,0.0265730143998948
-114.5,0.485350968117153,-0.201178645750983,-0.563759012260093,0.0415977607962059
-114,0.501790240860478,-0.180831326874849,-0.550815335719868,0.0568542445908905
-113.5,0.517397515036551,-0.160950032740201,-0.538152544235735,0.0723438724795036
-113,0.532244699675157,-0.141490845923685,-0.525731353651489,0.0880652118258259
-112.5,0.546402796723594,-0.122412171574425,-0.51351445453972,0.10401418082089
-112,0.559941779132555,-0.103674499110099,-0.501466435511069,0.120184228294915
-111.5,0.57293046562271,-0.0852401795968649,-0.489553706250615,0.136566504860223
-111,0.585436393015468,-0.0670732217922183,-0.477744421043989,0.153150027114048
-110.5,0.597525687149684,-0.0491391092246852,-0.466008403484502,0.16992183659593
-110,0.609262933521328,-0.0314046400694827,-0.454317072977513,0.186867155087459
-109.5,0.620711048873829,-0.0138377909704236,-0.442643373580625,0.203969537672713
-109,0.631931155030379,0.00359239463175104,-0.43096170563994,0.221211024759296
-108.5,0.642982456295801,0.0209158936634381,-0.419247860606258,0.238572294005831
-108,0.653922121763631,0.0381617665921453,-0.407478959341151,0.256032812825458
-107.5,0.664805173843329,0.0553581975973225,-0.395633394154759,0.273570991847585
-107,0.675684384274719,0.072532513139455,-0.3836907747541,0.291164339436031
-106.5,0.686610178821146,0.0897111806829955,-0.371631878225971,0.308789617088022
-106,0.697630551733082,0.106919789620472,-0.359438603130728,0.326422995287762
-105.5,0.708790990950242,0.124183016672674,-0.34709392774445,0.34404020916441
-105,0.720134414867109,0.141524578203672,-0.334581872456402,0.361616713115211
-104.5,0.731701121325918,0.158967171990679,-0.321887466306336,0.379127833403007
-104,0.743528749327001,0.176532411030748,-0.308996717631082,0.39654891762569
-103.5,0.755652253762426,0.194240751952086,-0.295896588782555,0.413855479883819
-103,0.768103893289067,0.212111420531952,-0.282574974876151,0.43102334044102
-102.5,0.78091323126588,0.230162336711669,-0.269020686531888,0.44802875867746
-102,0.794107149491078,0.248410041346733,-0.255223436575564,0.464848558177034
-101.5,0.807709874292529,0.266869626743519,-0.241173830674908,0.481460242859277
-101,0.821743014351922,0.285554672820199,-0.226863361893413,0.497842103164182
-100.5,0.836225609484504,0.304477190493323,-0.212284409151371,0.513973311416117
-100,0.851174189453791,0.323647573641653,-0.197430239587898,0.529834005627828
-99.5,0.866602841777161,0.343074560739843,-0.182295014818331,0.545405361152351
-99,0.88252328737633,0.362765206993565,-0.166873801077545,0.560669649744385
-98.5,0.898944962847004,0.382724867549877,-0.151162583229537,0.575610285749136
-98,0.915875108066345,0.402957192107587,-0.135158282608111,0.590211859293262
-97.5,0.933318857824778,0.423464131016207,-0.118858778629819,0.604460156503531
-97,0.951279336161135,0.444245952733219,-0.102262934090785,0.618342166923851
-96.5,0.969757752095117,0.465301272311291,-0.0853706240212636,0.631846078436477
-96,0.988753495489004,0.48662709041081,-0.0681827679281707,0.644961260117231
-95.5,1.00826423182905,0.508218842183487,-0.0507013652048379,0.657678233566311
-95,1.02828599479443,0.530070455246661,-0.0329295334313705,0.669988633354977
-94.5,1.04881327557619,0.552174415870432,-0.0148715492277514,0.681885157312138
-94,1.06983910801821,0.574521842425956,0.00346710874267304,0.693361507447282
-93.5,1.09135514877363,0.597102565096027,0.0220797150888139,0.704412322362493
-93,1.11335175180205,0.619905210824477,0.0409582518639816,0.715033102051314
-92.5,1.1358180366717,0.642917292478162,0.0600933621997872,0.725220126014499
-92,1.15874195027493,0.666125301212197,0.0794743040717862,0.734970365643163
-91.5,1.18211032171142,0.689514801061932,0.0990889049291171,0.744281391830509
-91,1.20590891024038,0.713070524833503,0.118923517976485,0.753151278773548
-90.5,1.23012244634747,0.736776470422425,0.138962980945944,0.761578504918645
-90,1.25473466611176,0.760615996757727,0.15919057823726,0.769561851989593
-89.5,1.27972833919301,0.784571918641089,0.1795880073369,0.777100303014389
-89,1.30508529088467,0.808626599826532,0.20013535044559,0.784192940239914
-88.5,1.33078641879525,0.832762043762133,0.220811052253152,0.790838843790822
-88,1.35681170482552,0.856959981489997,0.241591904794504,0.797036991892562
-87.5,1.38314022320279,0.881201956271399,0.262453040303029,0.802786163438375
-87,1.40975014541258,0.90546940456976,0.28336793294597,0.808084843637223
-86.5,1.43661874293426,0.929743733083626,0.30430841028116,0.81293113343447
-86,1.46372238873708,0.954006391573291,0.325244675215953,0.817322663349374
-85.5,1.49103655852821,0.978238941268455,0.346145339177104,0.821256512325194
-85,1.51853583276375,1.00242311868016,0.366977467116439,0.824729132136461
-84.5,1.54619390043622,1.02654089466676,0.387706634882149,0.82773627784681
-84,1.57398356563951,1.05057452862328,0.408296999379184,0.830272944757722
-83.5,1.60187675788364,1.07450661767514,0.428711381828771,0.832333312234256
-83,1.62984454708758,1.09832014076224,0.448911364314882,0.833910694739419
-82.5,1.65785716411978,1.12199849749957,0.468857399678076,0.834997500351949
-82,1.68588402768393,1.14552554169525,0.488508934685321,0.835585196985835
-81.5,1.71389377826184,1.16888560940024,0.507824546270776,0.835664286471445
-81,1.74185431972833,1.19206354135436,0.526762090505958,0.835224286598817
-80.5,1.76973286914576,1.21504469968474,0.545278863824201,0.834253721163416
-80,1.79749601512896,1.23781497870565,0.563331775889809,0.832740117993697
-79.5,1.82510978504762,1.26036080966463,0.580877533372676,0.830670014876721
-79,1.85253972120305,1.28266915928075,0.597872833762182,0.828028973236005
-78.5,1.87975096598186,1.30472752192772,0.614274568231848,0.824801599350631
-78,1.90670835585258,1.32652390532891,0.630040032449247,0.820971572840995
-77.5,1.93337652393271,1.34804680965433,0.64512714411354,0.816521682080858
-77,1.95972001071702,1.36928519994247,0.659494665895981,0.811433866130282
-76.5,1.98570338242238,1.39022847181189,0.673102432357309,0.805689262718737
-76,2.01129135627274,1.4108664104815,0.685911579318537,0.799268261742584
-75.5,2.03644893192173,1.43118914318204,0.697884774069484,0.792150563676643
-75,2.06114152808942,1.45118708511611,0.708986444709381,0.784315242236478
-74.5,2.08533512337702,1.47085087920847,0.719183006829232,0.775740810565622
-74,2.10899640011825,1.49017132998235,0.728443085661545,0.766405290162643
-73.5,2.13209289003087,1.5091393319981,0.736737731742786,0.756286281704194
-73,2.15459312034557,1.5277457933988,0.744040628055559,0.745361036866755
-72.5,2.17646675901476,1.545981555218,0.75032828654109,0.733606530197492
-72,2.19768475753985,1.56383730721866,0.755580231800306,0.720999530038668
-71.5,2.21821948990309,1.58130350114326,0.759779169732451,0.707516667467382
-71,2.2380448860506,1.59837026236388,0.762911138797541,0.693134502177309
-70.5,2.25713655834576,1.61502730102079,0.764965641533735,0.677829584199266
-70,2.27547191939852,1.63126382382841,0.765935753916589,0.661578510336426
-69.5,2.29303028967662,1.64706844780307,0.765818210117804,0.644357974177751
-69,2.30979299331962,1.66242911722561,0.764613460210132,0.626144808551389
-68.5,2.32574344060713,1.67733302518878,0.762325698379054,0.606916019288988
-68,2.34086719557995,1.69176654109407,0.758962859244821,0.586648809195433
-67.5,2.35515202737703,1.70571514544868,0.75453657997797,0.565320591156075
-67,2.3685879439344,1.71916337327249,0.749062126014048,0.542908989366773
-66.5,2.38116720679473,1.73209476735231,0.742558278344992,0.519391827745912
-66,2.39288432589993,1.74449184247656,0.735047180594165,0.494747104678121
-65.5,2.40373603338419,1.75633606164782,0.726554144373728,0.468952953354487
-65,2.41372123555311,1.76760782510301,0.717107411784638,0.441987587109657
-64.5,2.42284094242627,1.77828647277283,0.706737874354211,0.413829229318751
-64,2.43109817443549,1.78835030058671,0.695478748217353,0.384456027602987
-63.5,2.43849784611056,1.79777659077754,0.683365205936401,0.353845952306485
-63,2.44504662684635,1.80654165606942,0.670433966017732,0.3219766794468
-62.5,2.45075277912894,1.81462089734249,0.656722841917339,0.288825458606788
-62,2.45562597490265,1.82198887407045,0.642270253122705,0.254368966526955
-61.5,2.45967709108007,1.82861938652311,0.627114701742201,0.218583147471056
-61,2.46291798553122,1.83448556842511,0.61129421891009,0.181443041772235
-60.5,2.46536125522917,1.83955998847166,0.594845786202884,0.142922604316954
-60,2.46701997857369,1.84381475882842,0.57780473813938,0.102994515086803
-59.5,2.46790744425396,1.84722164849463,0.560204152672112,0.0616299842454115
-59,2.46803686933849,1.84975219919386,0.542074237344763,0.0187985546237161
-58.5,2.46742110958711,1.85137784128221,0.523441719454954,-0.0255320951864634
-58,2.46607236525756,1.85207000703776,0.504329249095408,-0.0713963435823159
-57.5,2.46400188591753,1.85180023862299,0.484754824316296,-0.118830810685189
-57,2.46121967796475,1.85054028800049,0.464731247833704,-0.167874530929656
-56.5,2.45773421869239,1.84826220613636,0.444265624677912,-0.218569109151438
-56,2.45355218080781,1.84493841894842,0.423358909917072,-0.270958855651366
-55.5,2.44867817131254,1.84054178765025,0.402005515096795,-0.325090895614206
-55,2.44311448857489,1.83504565140911,0.380192981304093,-0.381015248236931
-54.5,2.43686090127022,1.82842385057251,0.357901725805161,-0.438784870981076
-54,2.42991445262738,1.82065072912451,0.335104868038674,-0.498455664512652
-53.5,2.42226929310228,1.81170111550176,0.311768139397664,-0.560086434134314
-53,2.41391654420742,1.80155028142434,0.287849879739758,-0.623738803851473
