Phi [deg],E- Freq='4GHz' Theta='0deg',H- Freq='4GHz' Phi='0deg',test,H - Freq='4GHz' Phi='0deg',E  - Freq='4GHz' Theta='0deg'
146,-3.357914567,-4.290478692,,0.524616961,1.06981653
148,-3.357914567,-6.775339978,,0.515161658,1.06981653
150,-3.357914567,-9.828949297,,0.505269261,1.06981653
152,-3.357914567,-9.327987768,,0.494867995,1.06981653
154,-3.357914567,-6.454329309,,0.483940975,1.06981653
156,-3.357914567,-4.679471415,,0.47253637,1.06981653
158,-3.357914567,-4.366257785,,0.460773382,1.06981653
160,-3.357914567,-5.570443243,,0.448843416,1.06981653
162,-3.357914567,-8.722919502,,0.437006182,1.06981653
164,-3.357914567,-14.59615381,,0.425580838,1.06981653
166,-3.357914567,-13.56774782,,0.414932718,1.06981653
168,-3.357914567,-8.265760517,,0.405456493,1.06981653
170,-3.357914567,-5.696066911,,0.397556958,1.06981653
172,-3.357914567,-5.037449176,,0.391628787,1.06981653
174,-3.357914567,-6.106027285,,0.388036684,1.06981653
176,-3.357914567,-9.485022705,,0.3870973,1.06981653
178,-3.357914567,-17.92137564,,0.389064113,1.06981653
180,-3.357914567,-15.16785423,,0.394116207,1.06981653
